作品ID,作品名,作品名読み,ソート用読み,副題,副題読み,原題,初出,分類番号,文字遣い種別,作品著作権フラグ,公開日,最終更新日,図書カードURL,人物ID,姓,名,姓読み,名読み,姓読みソート用,名読みソート用,姓ローマ字,名ローマ字,役割フラグ,生年月日,没年月日,人物著作権フラグ,底本名1,底本出版社名1,底本初版発行年1,入力に使用した版1,校正に使用した版1,底本の親本名1,底本の親本出版社名1,底本の親本初版発行年1,底本名2,底本出版社名2,底本初版発行年2,入力に使用した版2,校正に使用した版2,底本の親本名2,底本の親本出版社名2,底本の親本初版発行年2,入力者,校正者,テキストファイルURL,テキストファイル最終更新日,テキストファイル符号化方式,テキストファイル文字集合,テキストファイル修正回数,XHTML/HTMLファイルURL,XHTML/HTMLファイル最終更新日,XHTML/HTMLファイル符号化方式,XHTML/HTMLファイル文字集合,XHTML/HTMLファイル修正回数
045623,東京に生れて,とうきょうにうまれて,とうきようにうまれて,,,,,NDC 914,新字新仮名,なし,2/10/2006,9/18/2014,https://www.aozora.gr.jp/cards/000879/card45623.html,000879,芥川,竜之介,あくたがわ,りゅうのすけ,あくたかわ,りゆうのすけ,Akutagawa,Ryunosuke,著者,1892-03-01,7/24/1927,なし,心にふるさとがある17　わが町わが村（東日本）,作品社,1998（平成10）年4月25日,1998（平成10）年4月25日第1刷,1998（平成10）年4月25日第1刷,,,,,,,,,,,,浦山敦子,小林繁雄、門田裕志,https://www.aozora.gr.jp/cards/000879/files/45623_ruby_20632.zip,1/13/2006,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/000879/files/45623_21423.html,1/13/2006,ShiftJIS,JIS X 0208,0
003788,東西問答,とうざいもんどう,とうさいもんとう,,,,,NDC 914,新字旧仮名,なし,8/9/2007,9/21/2014,https://www.aozora.gr.jp/cards/000879/card3788.html,000879,芥川,竜之介,あくたがわ,りゅうのすけ,あくたかわ,りゆうのすけ,Akutagawa,Ryunosuke,著者,1892-03-01,7/24/1927,なし,筑摩全集類聚　芥川龍之介全集第四巻,筑摩書房,1971（昭和46）年6月5日,1979（昭和54）年4月10日初版第11刷,,,,,,,,,,,,,土屋隆,松永正敏,https://www.aozora.gr.jp/cards/000879/files/3788_ruby_27274.zip,6/27/2007,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/000879/files/3788_27362.html,6/27/2007,ShiftJIS,JIS X 0208,0
000135,道祖問答,どうそもんどう,とうそもんとう,,,,「大阪朝日新聞夕刊」1917（大正6）年1月,NDC 913,新字新仮名,なし,11/11/1998,9/17/2014,https://www.aozora.gr.jp/cards/000879/card135.html,000879,芥川,竜之介,あくたがわ,りゅうのすけ,あくたかわ,りゆうのすけ,Akutagawa,Ryunosuke,著者,1892-03-01,7/24/1927,なし,芥川龍之介全集1,ちくま文庫、筑摩書房,1986（昭和61）年9月24日,1995（平成7）年10月5日第13刷,,筑摩全集類聚版芥川龍之介全集,筑摩書房,1971（昭和46）年3月～1971（昭和46）年11月,,,,,,,,,j.utiyama,もりみつじゅんじ,https://www.aozora.gr.jp/cards/000879/files/135_ruby_765.zip,3/15/2004,ShiftJIS,JIS X 0208,2,https://www.aozora.gr.jp/cards/000879/files/135_15221.html,3/15/2004,ShiftJIS,JIS X 0208,0
003810,動物園,どうぶつえん,とうふつえん,,,,,NDC 914,新字旧仮名,なし,7/25/2007,9/21/2014,https://www.aozora.gr.jp/cards/000879/card3810.html,000879,芥川,竜之介,あくたがわ,りゅうのすけ,あくたかわ,りゆうのすけ,Akutagawa,Ryunosuke,著者,1892-03-01,7/24/1927,なし,筑摩全集類聚　芥川龍之介全集第四巻,筑摩書房,1971（昭和46）年6月5日,1979（昭和54）年4月10日初版第11刷,,,,,,,,,,,,,土屋隆,松永正敏,https://www.aozora.gr.jp/cards/000879/files/3810_ruby_27233.zip,6/27/2007,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/000879/files/3810_27321.html,6/27/2007,ShiftJIS,JIS X 0208,0
002369,東洋の秋,とうようのあき,とうようのあき,,,,「改造」1920（大正9）年4月,NDC 913,新字旧仮名,なし,1/27/1999,9/17/2014,https://www.aozora.gr.jp/cards/000879/card2369.html,000879,芥川,竜之介,あくたがわ,りゅうのすけ,あくたかわ,りゆうのすけ,Akutagawa,Ryunosuke,著者,1892-03-01,7/24/1927,なし,芥川龍之介作品集　第四巻,昭和出版社,1965（昭和40）年12月20日,,,,,,,,,,,,,,j.utiyama,かとうかおり,https://www.aozora.gr.jp/cards/000879/files/2369_ruby_1406.zip,10/20/2003,ShiftJIS,JIS X 0208,2,https://www.aozora.gr.jp/cards/000879/files/2369_13457.html,10/20/2003,ShiftJIS,JIS X 0208,0
002324,都会で,とかいで,とかいて,,,,,NDC 914,新字旧仮名,なし,2/15/1999,9/17/2014,https://www.aozora.gr.jp/cards/000879/card2324.html,000879,芥川,竜之介,あくたがわ,りゅうのすけ,あくたかわ,りゆうのすけ,Akutagawa,Ryunosuke,著者,1892-03-01,7/24/1927,なし,芥川龍之介全集　第四巻,筑摩書房,1971（昭和46）年6月5日,1971（昭和46）年10月5日初版第5刷,1971（昭和46）年10月5日初版第5刷,,,,,,,,,,,,j.utiyama,j.utiyama,https://www.aozora.gr.jp/cards/000879/files/2324_ruby_1517.zip,10/20/2003,ShiftJIS,JIS X 0208,3,https://www.aozora.gr.jp/cards/000879/files/2324_13461.html,10/20/2003,ShiftJIS,JIS X 0208,0
060859,読書の態度,どくしょのたいど,とくしよのたいと,,,,「良婦之友　第一卷第九號」良婦之友社、1922（大正11）年9月1日,,旧字旧仮名,なし,7/24/2022,6/26/2022,https://www.aozora.gr.jp/cards/000879/card60859.html,000879,芥川,竜之介,あくたがわ,りゅうのすけ,あくたかわ,りゆうのすけ,Akutagawa,Ryunosuke,著者,1892-03-01,7/24/1927,なし,芥川龍之介全集　第五卷,岩波書店,1977（昭和52）年12月22日,1977（昭和52）年12月22日,1977（昭和52）年12月22日,良婦之友　第一卷第九號,良婦之友社,1922（大正11）年9月1日,,,,,,,,,友理,きりんの手紙,https://www.aozora.gr.jp/cards/000879/files/60859_ruby_75877.zip,6/26/2022,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/000879/files/60859_75912.html,6/26/2022,ShiftJIS,JIS X 0208,0
000170,杜子春,とししゅん,とししゆん,,,,「赤い鳥」1920（大正9）年7月号,NDC K913,新字旧仮名,なし,5/20/1998,9/17/2014,https://www.aozora.gr.jp/cards/000879/card170.html,000879,芥川,竜之介,あくたがわ,りゅうのすけ,あくたかわ,りゆうのすけ,Akutagawa,Ryunosuke,著者,1892-03-01,7/24/1927,なし,現代日本文学大系　43　芥川龍之介集,筑摩書房,1968（昭和43）年8月25日,1968（昭和43）年8月25日初版第1刷,,,,,,,,,,,,,j.utiyama,野口英司,https://www.aozora.gr.jp/cards/000879/files/170_ruby_348.zip,3/12/2004,ShiftJIS,JIS X 0208,6,https://www.aozora.gr.jp/cards/000879/files/170_15144.html,3/12/2004,ShiftJIS,JIS X 0208,0
043015,杜子春,とししゅん,とししゆん,,,,「赤い鳥」1920（大正9）年7月号,NDC K913,新字新仮名,なし,2/7/2005,9/18/2014,https://www.aozora.gr.jp/cards/000879/card43015.html,000879,芥川,竜之介,あくたがわ,りゅうのすけ,あくたかわ,りゆうのすけ,Akutagawa,Ryunosuke,著者,1892-03-01,7/24/1927,なし,蜘蛛の糸・杜子春,新潮文庫、新潮社,1968（昭和43）年11月15日,1989（平成元）年5月30日46刷,2004（平成16）年6月5日67刷,,,,,,,,,,,,蒋龍,noriko saito,https://www.aozora.gr.jp/cards/000879/files/43015_ruby_17393.zip,10/29/2013,ShiftJIS,JIS X 0208,2,https://www.aozora.gr.jp/cards/000879/files/43015_17432.html,10/29/2013,ShiftJIS,JIS X 0208,2
043387,豊島与志雄氏の事,とよしまよしおしのこと,とよしまよしおしのこと,,,,,NDC 914,新字新仮名,なし,3/11/2005,9/18/2014,https://www.aozora.gr.jp/cards/000879/card43387.html,000879,芥川,竜之介,あくたがわ,りゅうのすけ,あくたかわ,りゆうのすけ,Akutagawa,Ryunosuke,著者,1892-03-01,7/24/1927,なし,大川の水・追憶・本所両国　現代日本のエッセイ,講談社文芸文庫、講談社,1995（平成7）年1月10日,1995（平成7）年1月10日第1刷,1995（平成7）年1月10日第1刷,芥川龍之介全集第1～9、12巻,岩波書店,1977（昭和52）年7、9～12月、1978（昭和53）年1～4、7月,,,,,,,,,向井樹里,門田裕志,https://www.aozora.gr.jp/cards/000879/files/43387_ruby_17694.zip,2/20/2005,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/000879/files/43387_17881.html,2/20/2005,ShiftJIS,JIS X 0208,0
